label	num.segs	mean.len	median.len	stdev.len	num.bp	frac.bp
all	2556216	1212.700	1000.000	38261.668	3099922541	1.000
0	238600	1107.357	1000.000	537.488	264215349	0.085
1	254351	818.116	700.000	473.731	208088592	0.067
2	300562	1203.187	1100.000	565.397	361632200	0.117
3	45846	631.194	600.000	291.712	28937700	0.009
4	203145	897.983	900.000	414.978	182420852	0.059
5	347648	1169.605	1100.000	481.014	406610900	0.131
6	43598	7815.080	1000.000	292859.165	340721853	0.110
7	257609	1116.045	1000.000	551.459	287503341	0.093
8	121433	1040.728	1000.000	524.037	126378700	0.041
9	162730	1195.346	1100.000	697.005	194518600	0.063
10	317759	1135.796	1100.000	435.862	360909454	0.116
11	15931	559.707	500.000	237.259	8916700	0.003
12	169964	1164.965	1000.000	835.196	198002100	0.064
13	14906	1583.134	1400.000	826.799	23598200	0.008
14	62134	1729.617	1200.000	1809.398	107468000	0.035
