label	trackname	mean	sd	n
11	ENCFF490WCQ	0.5169219130314778154	0.23754596680001197723	8916700
11	ENCFF314TDG	1.1401463920380341744	0.5339636633745689729	8916700
11	ENCFF730PAV	1.1542984210549470285	0.6601664010114826771	8916700
11	ENCFF884TTU	1.1898245470903616685	0.5349293110999087863	8916700
11	ENCFF396PFA	0.4782698248669294596	0.24658174092000296371	8916700
11	ENCFF487XII	0.90233668762417182293	0.93748690908751599997	8916700
11	ENCFF375LTF	0.45208745153868566517	0.22686895316193260636	8916700
10	ENCFF490WCQ	0.6835234708253056094	0.2037515991732536091	360909454
10	ENCFF314TDG	0.042052096143003821533	0.03792191671035025009	360909454
10	ENCFF730PAV	0.7553846640868172747	0.2551878713115758605	360909454
10	ENCFF884TTU	0.748782011967409018	0.23282287202682546856	360909454
10	ENCFF396PFA	0.72708730963282209507	0.23499781260333928782	360909404
10	ENCFF487XII	0.5107656395175711995	0.19859567190039503828	360909454
10	ENCFF375LTF	0.82253445020127969	0.23199041476522413008	360909454
13	ENCFF490WCQ	0.87382091271052996	0.38409007551064507885	23598200
13	ENCFF314TDG	0.37809701305220008236	0.36576967788610134164	23598200
13	ENCFF730PAV	1.5613888624613317159	0.7048009620208790169	23598200
13	ENCFF884TTU	0.91096558831383467043	0.47613486450903098405	23598200
13	ENCFF396PFA	0.6236456670416542015	0.32967984695170163062	23598200
13	ENCFF487XII	3.6464662079920789732	1.0197154521813863487	23598200
13	ENCFF375LTF	0.5914021688907615659	0.31409625514618747807	23598200
12	ENCFF490WCQ	0.69436815272661694563	0.21757000708202837458	198002100
12	ENCFF314TDG	0.041448112008377094118	0.038576437411247159257	198002100
12	ENCFF730PAV	0.70266815427364719105	0.26809967659874461206	198002100
12	ENCFF884TTU	0.7157454308457766028	0.24834577040114185803	198002100
12	ENCFF396PFA	0.7862496670286792537	0.25764902235627858756	198002100
12	ENCFF487XII	0.5471091755549325009	0.22259460186371522748	198002100
12	ENCFF375LTF	1.2284767913715661172	0.27926103913360630137	198002100
14	ENCFF490WCQ	1.5603707347111076602	0.2886115522024572684	107468000
14	ENCFF314TDG	0.04513755657711642875	0.04347119788219361029	107468000
14	ENCFF730PAV	0.85944848175092946615	0.29064330489925193664	107468000
14	ENCFF884TTU	0.71988995454279879136	0.29070468543360305323	107468000
14	ENCFF396PFA	0.7126661016162655328	0.26826454546174214195	107468000
14	ENCFF487XII	0.5567549851022645792	0.2208654630618171527	107468000
14	ENCFF375LTF	0.62723792995826161686	0.24290256644299062851	107468000
1	ENCFF490WCQ	0.36754837968607835676	0.21248925699229171691	208072463
1	ENCFF314TDG	0.020836233462928060886	0.029631893800055956565	208088592
1	ENCFF730PAV	0.3856045275525314661	0.24832079660216109766	208070223
1	ENCFF884TTU	0.3456134240648930901	0.21873259486197803518	208072364
1	ENCFF396PFA	0.46934025774661764746	0.26532670673908335664	208072851
1	ENCFF487XII	0.28378955974656629776	0.19033805542733789322	208071680
1	ENCFF375LTF	0.4103719893974817998	0.24449059130001036584	208072361
0	ENCFF490WCQ	0.6964881571391289385	0.21127709771935478117	264215075
0	ENCFF314TDG	0.03186795497901413436	0.031863952432062460255	264215349
0	ENCFF730PAV	0.6526223323161148373	0.25502961396235059304	264214874
0	ENCFF884TTU	0.6405405132248285734	0.22826782511876998288	264215066
0	ENCFF396PFA	0.97949702008304638247	0.25756364425306734267	264215084
0	ENCFF487XII	0.50301088848202426195	0.20074786375675298792	264214997
0	ENCFF375LTF	0.657111792618175586	0.23557669402510714946	264214956
3	ENCFF490WCQ	0.689653950931436577	0.26473375418942598448	28937700
3	ENCFF314TDG	0.42690521494861121546	0.30478269600850403114	28937700
3	ENCFF730PAV	1.0210886440532991394	0.48643529775080659747	28937700
3	ENCFF884TTU	1.423438521012300397	0.44630467637625800728	28937700
3	ENCFF396PFA	0.64130030756910952447	0.2536348142571377674	28937700
3	ENCFF487XII	0.6476927528339748343	0.38861372606557862596	28937700
3	ENCFF375LTF	0.6224243378756686587	0.25589740042651069147	28937700
2	ENCFF490WCQ	0.52731226417761455034	0.19703615857144843411	361632200
2	ENCFF314TDG	0.033719023059659579878	0.032780803760198443143	361632200
2	ENCFF730PAV	0.552611754655443146	0.24327058369446925624	361632200
2	ENCFF884TTU	0.5270068709625432088	0.21553564157818164733	361632200
2	ENCFF396PFA	0.6285097928176272561	0.23980142766226995109	361632200
2	ENCFF487XII	0.42706770542209885117	0.19049940968748438889	361632200
2	ENCFF375LTF	0.860835352035514035	0.2443309777525388893	361632200
5	ENCFF490WCQ	0.5912596933484698023	0.20188757767559681436	406610900
5	ENCFF314TDG	0.0407542110556335092	0.040159166229122123983	406610900
5	ENCFF730PAV	0.64949263267991433915	0.24788284743532183184	406610900
5	ENCFF884TTU	0.6280453417912951647	0.23416257404108723095	406610900
5	ENCFF396PFA	0.59164023713505644166	0.22632986565787009221	406610900
5	ENCFF487XII	0.4272720187790673593	0.19141092520602345198	406610900
5	ENCFF375LTF	0.5660236629129072456	0.21420647768312034072	406610900
4	ENCFF490WCQ	0.9131157177286040517	0.23415387153394116393	182419242
4	ENCFF314TDG	0.04646507131946914337	0.040837489857602597332	182420852
4	ENCFF730PAV	0.8826771062439721189	0.26955374441197658072	182419225
4	ENCFF884TTU	0.8998141076035859536	0.25628739230586230973	182419226
4	ENCFF396PFA	0.8914050490794236779	0.26529778212674826607	182419241
4	ENCFF487XII	0.62541026001722856104	0.24394366575750103401	182419192
4	ENCFF375LTF	0.81886416036189057236	0.25257899964953468144	182419241
7	ENCFF490WCQ	0.5055942727586476778	0.19914878897026481135	287499117
7	ENCFF314TDG	0.025186378329528722864	0.027678943399912591102	287503341
7	ENCFF730PAV	0.4875834168201961449	0.23982811895493407889	287498532
7	ENCFF884TTU	0.459833592339707513	0.20995198767255494128	287498857
7	ENCFF396PFA	0.78366983663913483807	0.26179743322649328663	287499125
7	ENCFF487XII	0.39580226445011644276	0.18898273256702801564	287498925
7	ENCFF375LTF	0.504554695232991473	0.22206954738178034169	287498846
6	ENCFF490WCQ	0.014249467143562128998	0.060383976882650153074	338549625
6	ENCFF314TDG	0.0011022625176884559552	0.008827926005305208446	340705284
6	ENCFF730PAV	0.014770363969853770548	0.06811795546823731759	338493598
6	ENCFF884TTU	0.012837376053984143942	0.058776327339313542914	338520511
6	ENCFF396PFA	0.020448179966362110153	0.08588777270819938963	338584174
6	ENCFF487XII	0.010652005058522155895	0.049504435128835269152	338597163
6	ENCFF375LTF	0.015038481297612894226	0.066389482069138258345	338601521
9	ENCFF490WCQ	0.9980368066096459356	0.24205948513727457208	194518600
9	ENCFF314TDG	0.038795995404044180417	0.036755382034489510856	194518600
9	ENCFF730PAV	0.7303866956968450126	0.26672396522841829126	194518600
9	ENCFF884TTU	0.61151110267174507473	0.24321693129584853448	194518600
9	ENCFF396PFA	0.6268908307104215992	0.24141062253067793642	194518600
9	ENCFF487XII	0.47362908855067467696	0.19773180948896752933	194518600
9	ENCFF375LTF	0.5450390021412058935	0.22351377537072315312	194518600
8	ENCFF490WCQ	0.77136111049210451083	0.25511070221701306765	126378700
8	ENCFF314TDG	0.10903559841662496657	0.09849464932371994015	126378700
8	ENCFF730PAV	0.92526814729032660125	0.345620142113442806	126378700
8	ENCFF884TTU	1.3229312502327726257	0.34737831304448840437	126378700
8	ENCFF396PFA	0.70898088541881483846	0.24936108411353702134	126378700
8	ENCFF487XII	0.6102377302828761582	0.32171979625170735176	126378700
8	ENCFF375LTF	0.66733289199455947524	0.24672150234015610255	126378700
