label	num.segs	mean.len	median.len	stdev.len	num.bp	frac.bp
all	2439724	1270.604	1000.000	32156.767	3099922541	1.000
0	260999	1112.199	1000.000	513.969	290282707	0.094
1	79641	1673.612	1200.000	1759.695	133288100	0.043
2	271139	1036.747	1000.000	530.693	281102642	0.091
3	349426	1221.706	1000.000	895.544	426895932	0.138
4	21742	600.952	600.000	278.671	13065900	0.004
5	49016	581.551	500.000	277.608	28505300	0.009
6	120022	1300.591	1000.000	1210.954	156099550	0.050
7	361943	1165.206	1100.000	574.157	421738200	0.136
8	134994	1189.292	1000.000	917.128	160547274	0.052
9	58772	5794.406	900.000	207075.749	340548832	0.110
10	17603	1437.874	1200.000	818.727	25310900	0.008
11	261809	1099.944	1000.000	511.799	287975350	0.093
12	293440	1108.819	1000.000	529.891	325371954	0.105
13	159178	1314.189	1100.000	828.014	209189900	0.067
