label	trackname	mean	sd	n
11	ENCFF197ZMU	0.5394863780571468733	0.21393519298734541307	287975350
11	ENCFF344LQD	0.02715600815581603802	0.033329052585568743297	287975350
11	ENCFF770PJW	0.89882667329652344646	0.2338367727046955707	287975349
11	ENCFF886LHO	0.81931572209878527767	0.25660329617364188305	287975347
11	ENCFF689XAZ	0.6128604588725871145	0.2110490528680505607	287975346
10	ENCFF197ZMU	3.3769918675456137697	0.9526880712131400199	25310400
10	ENCFF344LQD	0.27295916206524348236	0.33059044044477655877	25310900
10	ENCFF770PJW	0.61012201560371247564	0.32570176148682648487	25310400
10	ENCFF886LHO	0.608644675585748082	0.29654796349356309424	25310400
10	ENCFF689XAZ	0.86405917285766708477	0.46821004671176738165	25310400
13	ENCFF197ZMU	0.4509786387190492014	0.22125325586907558308	209189900
13	ENCFF344LQD	0.026819988617743813154	0.041329425446780885875	209189900
13	ENCFF770PJW	0.5417124955048223776	0.24182990790530009629	209189900
13	ENCFF886LHO	0.57860327674057269206	0.26833616309068427988	209189900
13	ENCFF689XAZ	1.106614274903030899	0.25201319298400812056	209189900
12	ENCFF197ZMU	0.40106432393819409975	0.19457267176658871538	325367630
12	ENCFF344LQD	0.020019375386382122787	0.02999189422052322619	325371954
12	ENCFF770PJW	0.5390461447032608154	0.22566284022115719602	325367187
12	ENCFF886LHO	0.7726274745144451097	0.26058470804843835025	325367322
12	ENCFF689XAZ	0.4761270884909184872	0.19925549898000093035	325367377
1	ENCFF197ZMU	0.5815999127992481444	0.27442545287824805352	133288100
1	ENCFF344LQD	0.03521145490189920274	0.053864042222890864522	133288100
1	ENCFF770PJW	0.6430749422306048368	0.24629881719701022087	133288100
1	ENCFF886LHO	0.7397670638759891278	0.33141936177629417116	133288100
1	ENCFF689XAZ	1.6002275749007023689	0.28541365886823584987	133288100
0	ENCFF197ZMU	0.63016837141553036576	0.27614585506382529468	290282586
0	ENCFF344LQD	0.05214294006343110335	0.08742720367051293968	290282707
0	ENCFF770PJW	0.67118281988737223847	0.2286298534220464645	290282517
0	ENCFF886LHO	0.6945017462075668096	0.24584935565976615129	290282514
0	ENCFF689XAZ	0.70768256338892101214	0.22306293389044128449	290282533
3	ENCFF197ZMU	0.2595697296516004464	0.18217393391322861619	426872804
3	ENCFF344LQD	0.01324815849921504302	0.021004385787092115864	426895432
3	ENCFF770PJW	0.41650547978626066561	0.23262414371528905399	426875375
3	ENCFF886LHO	0.38931179997622284038	0.23996732130348750037	426874698
3	ENCFF689XAZ	0.30036489416643708618	0.18346514924115183926	426874966
2	ENCFF197ZMU	0.37562963184021243732	0.1970990871933194166	281102438
2	ENCFF344LQD	0.023530829703687734368	0.040321009283412187946	281102642
2	ENCFF770PJW	0.47273353062804683147	0.22453248181282871184	281102548
2	ENCFF886LHO	0.48610387980054967484	0.2382339685830571201	281102607
2	ENCFF689XAZ	0.6234948881067764863	0.22504609509989387706	281102621
5	ENCFF197ZMU	0.6429086640750981862	0.37617228003778509235	28505300
5	ENCFF344LQD	0.6243159261489141426	0.48255281753413660994	28505300
5	ENCFF770PJW	0.590701040982377094	0.24741522121428147254	28505300
5	ENCFF886LHO	0.63648050312123866806	0.2798781515517374719	28505300
5	ENCFF689XAZ	0.666725397879972078	0.309220552388904627	28505300
4	ENCFF197ZMU	1.2097890614235985823	1.1895449855749218686	13065900
4	ENCFF344LQD	1.6509899191010754014	0.82378954219759074597	13065900
4	ENCFF770PJW	0.47831746675690919315	0.22748178925700368793	13065900
4	ENCFF886LHO	0.52264061699597543723	0.26355399774820573036	13065900
4	ENCFF689XAZ	0.566210327219372199	0.30408620846660854825	13065900
7	ENCFF197ZMU	0.38762626191540633215	0.19676808381805261551	421737404
7	ENCFF344LQD	0.019532734660800827464	0.024517290459958074926	421738200
7	ENCFF770PJW	0.7627277099138651108	0.24257795624183040737	421737450
7	ENCFF886LHO	0.51518671716387106203	0.23627156566889784715	421737431
7	ENCFF689XAZ	0.41896563049971545105	0.1927445694053182198	421737371
6	ENCFF197ZMU	0.51664057348139825197	0.24732488067892416367	156098877
6	ENCFF344LQD	0.028099079521776373843	0.03316158401489785029	156099550
6	ENCFF770PJW	1.232385246682908147	0.28518252892229216597	156098833
6	ENCFF886LHO	0.69676086626329471446	0.27613209578178434826	156098836
6	ENCFF689XAZ	0.5560569084803291934	0.22145803980056589083	156098841
9	ENCFF197ZMU	0.013371547753764153168	0.054225087785297153312	338379016
9	ENCFF344LQD	0.0008788067463578078239	0.0075160986034400899693	340532763
9	ENCFF770PJW	0.020233257975669612921	0.07603464166377455706	338553639
9	ENCFF886LHO	0.02201391477293726197	0.08461219153984825232	338553184
9	ENCFF689XAZ	0.017074998436382692166	0.06576302009668236381	338510138
8	ENCFF197ZMU	0.5360729093017575563	0.21930115187248081395	160547024
8	ENCFF344LQD	0.028777892103796533113	0.044207665500452820185	160547274
8	ENCFF770PJW	0.68860609471462320166	0.25325774424615838445	160547066
8	ENCFF886LHO	1.1692386865407409023	0.29007004049066350206	160547086
8	ENCFF689XAZ	0.79028579413850276344	0.2515957734243839841	160547213
