label	num.segs	mean.len	median.len	stdev.len	num.bp	frac.bp
all	2635876	1176.050	1000.000	30756.274	3099922541	1.000
0	214910	1036.084	1000.000	458.806	222664753	0.072
1	182752	1183.583	900.000	943.372	216302085	0.070
2	258005	1258.633	1100.000	837.075	324733546	0.105
3	139000	1008.038	1000.000	517.282	140117333	0.045
4	260988	1087.816	1000.000	427.390	283906871	0.092
5	274219	1048.321	1000.000	487.832	287469563	0.093
6	41957	7080.071	1100.000	243663.127	297058533	0.096
7	48767	897.945	800.000	501.910	43790100	0.014
8	11525	618.039	600.000	304.178	7122900	0.002
9	227261	1073.251	1000.000	524.869	243908060	0.079
10	281935	1100.858	1000.000	428.860	310370461	0.100
11	169886	1009.711	900.000	567.632	171535838	0.055
12	127751	874.399	800.000	422.144	111705406	0.036
13	27815	593.216	500.000	303.858	16500300	0.005
14	369105	1145.302	1100.000	466.739	422736792	0.136
