label	num.segs	mean.len	median.len	stdev.len	num.bp	frac.bp
all	2459534	1260.370	1000.000	31870.893	3099922541	1.000
0	13277	1099.789	900.000	722.950	14601900	0.005
1	282034	2024.596	1000.000	94089.462	571004905	0.184
2	107821	1048.405	1000.000	542.401	113040100	0.036
3	76805	1708.680	1200.000	1721.528	131235200	0.042
4	50979	1143.332	1000.000	769.500	58285900	0.019
5	356167	1157.906	1100.000	573.261	412407804	0.133
6	217648	997.363	900.000	499.544	217074042	0.070
7	516638	1303.128	1200.000	582.617	673245201	0.217
8	111010	1248.966	900.000	1252.400	138647713	0.045
9	316367	1029.637	900.000	576.705	325743100	0.105
10	39186	960.126	800.000	577.453	37623500	0.012
11	16371	1172.201	1000.000	730.612	19190100	0.006
12	48865	875.631	800.000	576.805	42787690	0.014
13	180663	1141.763	1000.000	660.383	206274382	0.067
14	125703	1103.880	900.000	1274.841	138761004	0.045
