label	num.segs	mean.len	median.len	stdev.len	num.bp	frac.bp
all	2674564	1159.038	1000.000	30676.785	3099922541	1.000
0	21896	953.466	1000.000	422.244	20877100	0.007
1	232924	887.862	800.000	508.744	206804449	0.067
2	495268	1223.894	1200.000	465.888	606155519	0.196
3	381317	1133.111	1100.000	447.898	432074303	0.139
4	137173	981.912	900.000	685.401	134691747	0.043
5	193389	710.045	600.000	380.853	137314835	0.044
6	6279	678.627	600.000	264.816	4261100	0.001
7	61774	831.353	600.000	735.950	51356000	0.017
8	11030	935.376	900.000	381.919	10317200	0.003
9	200871	2507.057	1000.000	111915.019	503595097	0.162
10	295014	1075.315	1000.000	487.629	317232946	0.102
11	8133	749.441	700.000	352.150	6095200	0.002
12	237011	878.568	900.000	401.733	208230185	0.067
13	392485	1174.355	1100.000	479.851	460916860	0.149
