label	trackname	mean	sd	n
11	ENCFF920MFN	0.52985187567026669864	0.5211196977089886017	6095200
11	ENCFF227NGR	1.2623614527179083008	1.1515391810538332221	6095200
11	ENCFF472DRE	1.4465546359127520154	0.8724422430878961662	6095200
11	ENCFF120MMZ	0.40383958628562879596	0.4487650912426816286	6095200
11	ENCFF027JAD	3.360651880007288902	1.5270967210701281315	6095200
10	ENCFF920MFN	0.87935781256344327123	0.58206384244604376303	317230141
10	ENCFF227NGR	0.4531618372248236655	0.54773834885403320993	317230657
10	ENCFF472DRE	0.02301501723797796725	0.045094317510877211066	317232946
10	ENCFF120MMZ	0.46599285056846132333	0.47714702579570904433	317231125
10	ENCFF027JAD	0.15094536696800720542	0.27474115532684660886	317228436
13	ENCFF920MFN	0.3429774941148021396	0.44329297220779775645	460913270
13	ENCFF227NGR	0.37536624000534597664	0.50517699957704998153	460913698
13	ENCFF472DRE	0.016101395984345394029	0.034840777885925899234	460916860
13	ENCFF120MMZ	0.7622401723473160174	0.541375384823623743	460912691
13	ENCFF027JAD	0.11388254451028640274	0.23784802264334440496	460909612
12	ENCFF920MFN	0.31434182214116590095	0.4505742585722249761	208222209
12	ENCFF227NGR	0.9291071556854966347	0.77127538973502131174	208222641
12	ENCFF472DRE	0.015609472567593845096	0.034667263310932792623	208227316
12	ENCFF120MMZ	0.40715700869959109114	0.47659882629215812494	208223847
12	ENCFF027JAD	0.12537622284462434501	0.26056721528927765484	208218743
1	ENCFF920MFN	0.590822002663593445	0.5451494824483345242	206800995
1	ENCFF227NGR	0.56316830144600104317	0.61066242564484121393	206800654
1	ENCFF472DRE	0.021552254514261537056	0.043018880618763679413	206804449
1	ENCFF120MMZ	1.1857695984652175757	0.58037885458411759936	206801140
1	ENCFF027JAD	0.1951630325896217964	0.31214395821123780132	206799035
0	ENCFF920MFN	0.6604814932736130946	0.595300255139282439	20873782
0	ENCFF227NGR	0.6193350020237948021	0.6748407230171920772	20874640
0	ENCFF472DRE	0.108321952388815352644	0.18575066640988684204	20877100
0	ENCFF120MMZ	0.5217121794510170271	0.5255641052750692173	20874512
0	ENCFF027JAD	2.578992347147011488	1.175294811489216388	20873466
3	ENCFF920MFN	0.49838496650566161978	0.508273221475561547	432062802
3	ENCFF227NGR	0.3145836678510285125	0.47122882772819841887	432066060
3	ENCFF472DRE	0.01621771515242960413	0.035902304951312884885	432074303
3	ENCFF120MMZ	0.28486621143258144585	0.3922740448231273668	432066699
3	ENCFF027JAD	0.10384208561119450187	0.230131392239853029	432057506
2	ENCFF920MFN	0.17183846929606453482	0.3357242889871832063	606139780
2	ENCFF227NGR	0.333288898474568737	0.4928363687079008032	606140306
2	ENCFF472DRE	0.0117220028868193855	0.028238811672580807921	606143219
2	ENCFF120MMZ	0.3302535128113809577	0.42656775072794308922	606140489
2	ENCFF027JAD	0.097475079313223952596	0.23071804071511211339	606123300
5	ENCFF920MFN	0.4785869833620694673	0.53444494045881954806	137307700
5	ENCFF227NGR	0.48158796693442898154	0.58312373343387334887	137307967
5	ENCFF472DRE	0.024586973354981148062	0.059194254589636406472	137314835
5	ENCFF120MMZ	0.5007923553956151345	0.51400587260397290695	137307913
5	ENCFF027JAD	0.57588287753076120826	0.49484712396558236933	137306093
4	ENCFF920MFN	1.4596238633406630207	0.61618294098320093485	134686362
4	ENCFF227NGR	0.5170422997091585761	0.6023987321783339844	134686428
4	ENCFF472DRE	0.030421841579384889014	0.054737067281149580344	134691747
4	ENCFF120MMZ	0.5227464366875175885	0.5062902953709061606	134686264
4	ENCFF027JAD	0.22798672126623504837	0.34077071236269752905	134685511
7	ENCFF920MFN	0.73280692301783505383	0.6445776028051691628	51355225
7	ENCFF227NGR	0.612550673828438173	0.77785953909248374083	51355692
7	ENCFF472DRE	0.30109002794420899508	0.23153243544428648524	51356000
7	ENCFF120MMZ	0.5269885414219225765	0.5220697368503958961	51355500
7	ENCFF027JAD	0.28408501477844317294	0.41522573569482017726	51355736
6	ENCFF920MFN	0.42894289127520136116	0.4693379617826267679	4261100
6	ENCFF227NGR	1.2013918577986413885	1.0781577042271152333	4261100
6	ENCFF472DRE	2.780664928206898422	1.1369372515447108825	4261100
6	ENCFF120MMZ	0.29017009130572652193	0.36317090639813889196	4261100
6	ENCFF027JAD	3.5484565364944953309	1.2798674461622866272	4261100
9	ENCFF920MFN	0.0360635705958862486	0.17282855003034526447	501227091
9	ENCFF227NGR	0.051467607878195304635	0.22084382557598188508	501246049
9	ENCFF472DRE	0.002436844232818230541	0.012842708826087560902	503593697
9	ENCFF120MMZ	0.038947972114005065586	0.16859209683183437211	501232472
9	ENCFF027JAD	0.014058524743375701392	0.095368998504446512216	500998400
8	ENCFF920MFN	0.63491928866049540913	0.5648628853054129486	10317200
8	ENCFF227NGR	0.86802145055059709127	0.8377883840833975872	10317200
8	ENCFF472DRE	0.47016634440901451103	0.4606876484752669986	10317200
8	ENCFF120MMZ	0.5406900550391682026	0.54341067243944752354	10317200
8	ENCFF027JAD	3.8173783925329535611	1.0535234288827833619	10317200
