label	num.segs	mean.len	median.len	stdev.len	num.bp	frac.bp
all	2682185	1155.745	1000.000	30507.403	3099922541	1.000
0	75990	965.827	900.000	520.888	73393200	0.024
1	512793	1203.019	1100.000	544.649	616899909	0.199
2	127762	864.277	800.000	637.953	110421814	0.036
3	185067	921.488	900.000	449.888	170537100	0.055
4	212818	1041.764	1000.000	439.870	221706126	0.072
5	158490	2797.996	1000.000	125472.691	443454402	0.143
6	48912	1243.253	900.000	1231.758	60810000	0.020
7	44317	993.937	1000.000	432.786	44048300	0.014
8	296501	1073.227	1000.000	417.357	318212785	0.103
9	15233	569.691	500.000	237.859	8678100	0.003
10	34723	653.613	600.000	317.455	22695400	0.007
11	245189	1034.487	1000.000	464.924	253644819	0.082
12	167328	986.641	1000.000	429.759	165092721	0.053
13	65695	850.030	800.000	526.302	55842700	0.018
14	117734	1019.020	1000.000	527.904	119973280	0.039
15	373633	1109.409	1100.000	451.239	414511885	0.134
