label	num.segs	mean.len	median.len	stdev.len	num.bp	frac.bp
all	2681843	1155.893	1000.000	30509.452	3099922541	1.000
0	76003	965.740	900.000	521.022	73399100	0.024
1	513489	1203.425	1100.000	544.837	617945609	0.199
2	127438	862.346	800.000	636.839	109895694	0.035
3	184634	921.728	900.000	449.853	170182300	0.055
4	212250	1041.557	1000.000	439.446	221070426	0.071
5	158679	2796.364	1000.000	125398.361	443724302	0.143
6	48866	1247.610	900.000	1236.196	60965700	0.020
7	44294	994.286	1000.000	432.655	44040900	0.014
8	296258	1072.566	1000.000	417.326	317756285	0.103
9	15234	569.667	500.000	237.867	8678300	0.003
10	34732	653.608	600.000	317.476	22701100	0.007
11	244433	1035.186	1000.000	466.553	253033739	0.082
12	167286	987.007	1000.000	429.609	165112421	0.053
13	65872	850.632	800.000	526.333	56032800	0.018
14	118656	1018.275	1000.000	527.876	120824380	0.039
15	373719	1109.281	1100.000	451.389	414559485	0.134
