       length   >=1e4  =100  <=200
label                             
0       86309   275.0   5.0   1850
1      446786     4.0  49.0   9261
2        9586     NaN   NaN    242
3      369463     NaN  29.0   5365
4      103480     2.0  14.0   3319
5      331902     NaN  25.0   4361
6      169187     8.0  15.0   5233
7        9840     1.0   NaN      7
8       31383     NaN   3.0   1684
9      170239   244.0  19.0   5466
10     278422     NaN  28.0   5113
11      42305    43.0   9.0   2540
12     203256    68.0  21.0   4452
13      37888   159.0   1.0    332
14      94504  2589.0  13.0   4177
