       length   >=1e4  =100  <=200
label                             
0      238600     3.0    24   2507
1      254351     2.0    29   7075
2      300562     NaN    15   2462
3       45846     NaN     9   1811
4      203145     NaN    11   3299
5      347648     NaN    13   2191
6       43598  2351.0     4   1009
7      257609     1.0    15   2316
8      121433     NaN     6   1129
9      162730     1.0    20   2880
10     317759     NaN    13   1830
11      15931     NaN     5    830
12     169964    58.0    12   2488
13      14906     1.0     2     23
14      62134   510.0     3    811
