celltype	bio_label	num_assignments
HAP-1	RegPermissive	7
HAP-1	Bivalent	0
HAP-1	Quiescent	4
HAP-1	FacultativeHet	2
HAP-1	LowConfidence	0
HAP-1	Transcribed	2
HAP-1	Promoter	0
HAP-1	Enhancer	0
DND-41	RegPermissive	4
DND-41	Bivalent	0
DND-41	Quiescent	4
DND-41	FacultativeHet	4
DND-41	LowConfidence	0
DND-41	Transcribed	3
DND-41	Promoter	0
DND-41	Enhancer	0
adrenal_gland_embryonic	RegPermissive	2
adrenal_gland_embryonic	Bivalent	1
adrenal_gland_embryonic	Quiescent	4
adrenal_gland_embryonic	FacultativeHet	2
adrenal_gland_embryonic	LowConfidence	1
adrenal_gland_embryonic	Transcribed	3
adrenal_gland_embryonic	Promoter	1
adrenal_gland_embryonic	Enhancer	1
trophoblast_cell	RegPermissive	3
trophoblast_cell	Bivalent	0
trophoblast_cell	Quiescent	5
trophoblast_cell	FacultativeHet	2
trophoblast_cell	LowConfidence	1
trophoblast_cell	Transcribed	3
trophoblast_cell	Promoter	2
trophoblast_cell	Enhancer	0
